"Wahlkreis";"Jahr";"Berechtigte";"Wähler";"Ungültige_1";"Ungültige_2";"Gültige_1";"Gültige_2"
193;2005;223315;169272;3221;2732;166051;166540
194;2005;248530;190472;3248;2949;187224;187523
195;2005;190763;144322;3159;2890;141163;141432
196;2005;239958;181086;3614;3226;177472;177860
197;2005;213525;158033;3120;2854;154913;155179
198;2005;242693;190310;3365;3430;186945;186880
199;2005;193865;152517;3483;2633;149034;149884
200;2005;196029;152025;2585;2026;149440;149999
201;2005;180870;143887;4343;3452;139544;140435
202;2005;191864;147733;3522;3139;144211;144594
203;2005;169169;132623;3428;3043;129195;129580
204;2005;185437;143881;3725;3158;140156;140723
205;2005;212396;167673;3727;3393;163946;164280
206;2005;244758;198652;3861;3178;194791;195474
207;2005;198651;157641;3841;3327;153800;154314
208;2005;216306;169870;4002;3722;165868;166148
209;2005;219704;177506;4109;3629;173397;173877
210;2005;234939;179680;4905;4270;174775;175410
211;2005;187595;146241;5350;4411;140891;141830
212;2005;209895;167742;3873;3831;163869;163911
213;2005;166212;124868;1947;1586;122921;123282
214;2005;179381;146284;2351;1322;143933;144962
215;2005;197541;157045;2279;1521;154766;155524
216;2005;242940;199138;2785;1876;196353;197262
217;2005;245899;187323;2530;2420;184793;184903
218;2005;202793;152262;1545;1284;150717;150978
219;2005;219413;170380;2082;1360;168298;169020
220;2005;200500;154386;1720;1213;152666;153173
221;2005;217460;168905;1908;1446;166997;167459
222;2005;226705;189295;2022;1346;187273;187949
223;2005;222020;173077;2543;1677;170534;171400
224;2005;247824;202092;2428;1780;199664;200312
225;2005;202947;157644;2553;1737;155091;155907
226;2005;244362;195607;2574;1880;193033;193727
227;2005;154154;109196;1729;1224;107467;107972
228;2005;242102;186087;3412;2085;182675;184002
229;2005;184728;132420;2120;1422;130300;130998
230;2005;161553;119605;3310;1883;116295;117722
231;2005;172616;127264;1975;1578;125289;125686
232;2005;213156;166438;2981;2441;163457;163997
233;2005;236419;180592;2468;2079;178124;178513
234;2005;215477;160516;2785;2511;157731;158005
235;2005;172807;134636;2240;2476;132396;132160
236;2005;173588;135999;2566;1467;133433;134532
237;2005;165436;128398;1909;1396;126489;127002
238;2005;164542;128079;2391;1621;125688;126458
239;2005;186643;141563;2403;2237;139160;139326
240;2005;173566;137658;2691;1913;134967;135745
241;2005;242756;187535;3192;2428;184343;185107
242;2005;172655;139877;1470;1481;138407;138396
243;2005;245961;190859;3120;2418;187739;188441
244;2005;183712;139713;1729;1500;137984;138213
245;2005;183616;137634;2346;1997;135288;135637
246;2005;223294;183237;3627;2623;179610;180614
247;2005;182224;144283;3187;2587;141096;141696
248;2005;220582;175290;3438;2742;171852;172548
249;2005;197707;158422;3172;2585;155250;155837
250;2005;198245;156430;2979;2448;153451;153982
251;2005;222087;178409;2626;2138;175783;176271
252;2005;203162;149458;2615;2330;146843;147128
253;2005;236590;191577;3051;2161;188526;189416
254;2005;187610;147222;2609;1718;144613;145504
255;2005;232818;179115;3211;2288;175904;176827
256;2005;217158;169643;2240;1713;167403;167930
257;2005;239599;186381;4414;2598;181967;183783
258;2005;179288;145294;1642;1463;143652;143831
259;2005;179622;138583;1879;1924;136704;136659
260;2005;241166;196769;2690;2571;194079;194198
261;2005;163579;133889;1794;1509;132095;132380
262;2005;201242;164944;2501;2149;162443;162795
263;2005;180833;142455;2923;2574;139532;139881
264;2005;217671;176569;2709;2333;173860;174236
265;2005;203269;165170;2497;2235;162673;162935
266;2005;218571;179071;3054;2701;176017;176370
267;2005;237705;183367;3915;3412;179452;179955
268;2005;220164;165515;3457;3490;162058;162025
269;2005;175509;136784;2699;2489;134085;134295
270;2005;224632;174933;4322;3578;170611;171355
271;2005;197356;150150;2609;2336;147541;147814
272;2005;205134;165906;3171;2734;162735;163172
273;2005;207276;158399;3648;3267;154751;155132
274;2005;208852;170915;2478;2275;168437;168640
275;2005;198518;146286;3187;2693;143099;143593
276;2005;216051;168380;4112;3594;164268;164786
277;2005;193332;155883;3061;2656;152822;153227
278;2005;190693;152375;3562;3200;148813;149175
279;2005;218955;169442;3439;3076;166003;166366
280;2005;198594;153953;2633;2578;151320;151375
281;2005;205189;165010;2556;2151;162454;162859
282;2005;220779;169552;3411;2806;166141;166746
283;2005;209138;160982;3793;3521;157189;157461
284;2005;201410;151908;3447;3365;148461;148543
285;2005;199140;153257;3804;3125;149453;150132
286;2005;167645;129388;3293;2900;126095;126488
287;2005;193465;150629;3053;2472;147576;148157
288;2005;176676;136437;3453;2322;132984;134115
289;2005;195834;156407;3343;2644;153064;153763
290;2005;182904;148011;2661;2386;145350;145625
291;2005;214908;171930;3682;3287;168248;168643
292;2005;158342;125405;2611;2461;122794;122944
293;2005;163240;129793;2003;1806;127790;127987
294;2005;177314;138293;2508;2394;135785;135899
295;2005;185197;141883;3583;2993;138300;138890
296;2005;209832;161396;3305;3302;158091;158094
297;2005;216527;173032;4695;4550;168337;168482
298;2005;187024;153996;5179;4710;148817;149286
