'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Bernsen';'Jürgen Heinrich';1963;'K:Bernsen';30;;;;77
'Bernstein';'Patrick';1973;'NPD';22;;;;221
'Bertram';'Ute';1961;'CDU';6;'Niedersachsen';9;' 49 ';'  '
'Besemann';'Karl-Heinz';1950;'DVU';11;'Niedersachsen';9;' 2 ';'  '
'Bestehorn';'Harald';1962;'NPD';22;;;;239
'Bestgen';'Markus';1964;'FDP';17;'Nordrhein-Westfalen';10;' 27 ';98
'Bethge';'Horst';1935;'DIE LINKE';13;'Hamburg';6;' 4 ';'  '
'Bethke';'Cornelia';1966;'SPD';29;'Hessen';7;' 35 ';'  '
'Beutin';'Lorenz Gösta';1978;'DIE LINKE';13;;;;10
'Beyer';'Christian';1974;'SPD';29;'Bayern';2;' 27 ';232
'Beyer';'Lars';1969;'NPD';22;'Brandenburg';4;' 9 ';'  '
'Beyer';'Peter';1970;'CDU';6;'Nordrhein-Westfalen';10;' 53 ';106
'Beyer';'Stephan';1985;'PIRATEN';26;'Thüringen';16;' 8 ';'  '
'Beyer';'Stephan';1985;'K:Beyer';30;;;;192
'Bieder';'Bettina';1980;'NPD';22;;;;81
'Bieler';'Christian';1985;'NPD';22;;;;198
'Biener';'KLaus';1959;'GRÜNE';4;'Mecklenburg-Vorpommern';8;' 8 ';'  '
'Biereichelt';'Xenia';1989;'BüSo';5;'Sachsen';13;' 6 ';153
'Biesenbach';'Arnhild';1955;'CDU';6;'Niedersachsen';9;' 39 ';'  '
'Biester';'Hans-Dieter';1945;'RENTNER';28;'Hamburg';6;' 2 ';'  '
'Bihler';'Michael';1979;'CSU';8;'Bayern';2;' 48 ';'  '
'Bilger';'Steffen';1979;'CDU';6;;;;265
'Biller';'Rainer';1965;'NPD';22;;;;245
'Binder';'Karin';1957;'DIE LINKE';13;'Baden-Württemberg';1;' 3 ';271
'Binder';'Martin';1980;'CDU';6;'Rheinland-Pfalz';11;' 16 ';'  '
'Binder';'Sascha';1983;'SPD';29;'Baden-Württemberg';1;' 29 ';263
'Binding';'Lothar';1950;'SPD';29;'Baden-Württemberg';1;' 14 ';274
