Wahlkreis;Partei;Erststimmen;Zweitstimmen;Jahr
34;6;58684;50311;2005
34;6;52599;47565;2009
34;11;;193;2009
34;13;5418;6577;2005
34;13;9775;11701;2009
34;17;7454;16092;2005
34;17;15928;22067;2009
34;20;;56;2005
34;20;;27;2009
34;21;;870;2005
34;21;;1059;2009
34;22;1735;1782;2005
34;22;1660;1442;2009
34;23;;143;2009
34;24;;315;2005
34;26;;2435;2009
34;27;;937;2009
34;29;68750;62773;2005
34;29;48313;38955;2009
34;30;;545;2005
34;36;;112;2005
34;99;;657;2005
35;4;9774;13732;2005
35;4;12318;17053;2009
35;5;;82;2005
35;6;52093;45078;2005
35;6;53080;45908;2009
35;11;;187;2009
35;13;6281;7604;2005
35;13;12242;13830;2009
35;17;7001;13843;2005
35;17;10787;17889;2009
35;20;;52;2005
35;20;;24;2009
35;21;;975;2005
35;21;;1228;2009
35;22;2559;2387;2005
35;22;2417;1981;2009
35;23;;152;2009
35;24;;536;2005
35;26;;2339;2009
35;27;;976;2009
35;29;73003;65909;2005
35;29;52397;41979;2009
35;30;;532;2005
35;36;;158;2005
35;99;;744;2005
36;4;5260;9164;2005
36;4;9101;12155;2009
36;5;;66;2005
36;6;54385;46769;2005
36;6;48344;42324;2009
36;11;;167;2009
36;13;4417;5229;2005
36;13;8366;9759;2009
36;17;5507;12409;2005
36;17;9895;16930;2009
36;20;;41;2005
36;20;;22;2009
36;21;;892;2005
36;21;;1172;2009
36;22;2173;2019;2005
36;22;2138;1825;2009
36;23;;133;2009
36;24;518;474;2005
36;26;;2252;2009
36;27;;597;2009
36;29;58134;53117;2005
36;29;42395;33279;2009
36;30;;703;2005
36;36;;199;2005
36;99;;466;2005
37;4;7065;13324;2005
37;4;13772;18002;2009
37;5;;69;2005
37;6;66788;55816;2005
37;6;59657;50104;2009
37;11;;177;2009
37;13;4904;5771;2005
37;13;9611;10825;2009
37;17;6599;17501;2005
37;17;15812;24967;2009
37;20;;42;2005
37;20;;33;2009
37;21;;996;2005
37;21;;1132;2009
37;22;1879;1687;2005
37;22;1935;1636;2009
37;23;;238;2009
37;24;539;397;2005
37;26;;2963;2009
37;27;1153;1150;2009
37;29;64462;56250;2005
37;29;45002;36139;2009
37;30;;714;2005
37;36;;148;2005
37;99;;752;2005
38;4;11557;16420;2005
38;4;19645;23543;2009
38;5;;60;2005
38;6;49363;42265;2005
38;6;43229;37291;2009
38;11;;135;2009
38;13;7124;8265;2005
38;13;11935;13166;2009
38;17;5603;12649;2005
38;17;11242;16323;2009
38;20;;56;2005
38;20;;32;2009
38;21;;798;2005
38;21;;1002;2009
38;22;1904;1826;2005
38;22;1860;1594;2009
38;23;;194;2009
38;24;;255;2005
38;26;;2795;2009
38;27;1449;1704;2009
38;29;61468;54010;2005
38;29;40411;32321;2009
38;30;;319;2005
38;36;;99;2005
38;99;;694;2005
39;4;6884;10143;2005
39;4;10393;13227;2009
39;5;;53;2005
39;6;71536;62100;2005
39;6;63175;55599;2009
39;11;;120;2009
39;13;4274;5039;2005
39;13;9006;10211;2009
39;17;6635;15371;2005
39;17;12940;21117;2009
39;20;;21;2005
39;20;;26;2009
39;21;;691;2005
39;21;;854;2009
39;22;1532;1482;2005
39;22;1382;1243;2009
39;23;;190;2009
39;24;;466;2005
39;26;;2268;2009
39;27;;486;2009
39;29;61900;57200;2005
39;29;46028;37936;2009
39;30;;431;2005
39;36;;85;2005
39;99;;418;2005
40;4;9528;14734;2005
40;4;14282;18463;2009
40;5;;47;2005
40;6;61467;54431;2005
40;6;54522;48398;2009
40;11;;88;2009
40;13;4801;5615;2005
40;13;9918;11878;2009
40;17;8038;14015;2005
40;17;14823;19941;2009
40;20;;61;2005
40;20;;18;2009
40;21;;605;2005
40;21;;880;2009
40;22;1120;1056;2005
40;22;945;848;2009
40;23;;216;2009
40;24;;286;2005
40;26;;3168;2009
40;27;;443;2009
40;29;67136;60941;2005
40;29;46979;38000;2009
40;30;;443;2005
40;36;;140;2005
40;99;;516;2005
40;99;658;;2009
41;4;5190;9457;2005
41;4;10217;13815;2009
41;5;;75;2005
41;6;57237;50643;2005
41;6;52714;45750;2009
41;11;;147;2009
41;13;4637;5618;2005
41;13;8797;10847;2009
41;17;5374;12548;2005
41;17;8712;17698;2009
41;20;;45;2005
41;20;;42;2009
41;21;;808;2005
41;21;;1079;2009
41;22;2363;2369;2005
41;22;2036;1858;2009
41;23;;183;2009
41;24;;432;2005
41;26;;2454;2009
41;27;;1352;2009
41;29;80280;73126;2005
41;29;58649;46797;2009
41;30;;686;2005
41;36;;86;2005
41;99;435;583;2005
41;99;567;;2009
42;4;8333;15356;2005
42;4;13364;19019;2009
42;5;;74;2005
42;6;44061;36313;2005
42;6;42621;34448;2009
42;11;;118;2009
42;13;5565;6666;2005
42;13;10624;12111;2009
42;17;5419;12349;2005
42;17;9699;16680;2009
42;20;207;92;2005
42;20;176;88;2009
42;21;;749;2005
42;21;;1081;2009
42;22;1731;1658;2005
42;22;1759;1681;2009
42;23;;190;2009
42;24;;312;2005
42;26;;3102;2009
42;27;978;973;2009
42;29;73195;64477;2005
42;29;50592;40497;2009
42;30;;539;2005
42;36;;84;2005
42;99;;772;2005
43;4;9943;20271;2005
43;4;15797;24705;2009
43;5;;84;2005
43;6;44250;37099;2005
43;6;44534;33872;2009
43;11;;122;2009
43;13;6305;7969;2005
43;13;12886;14786;2009
43;17;4629;11689;2005
43;17;8657;16098;2009
43;20;;106;2005
43;20;;137;2009
43;21;;747;2005
43;21;;1106;2009
43;22;1583;1428;2005
43;22;1573;1411;2009
43;23;;221;2009
43;24;;293;2005
43;26;;4368;2009
43;27;;887;2009
43;29;79249;66004;2005
43;29;55068;41482;2009
43;30;;714;2005
43;36;;154;2005
43;99;;623;2005
43;99;417;;2009
44;4;6100;13112;2005
44;4;11642;16993;2009
44;5;;87;2005
44;6;70840;60292;2005
44;6;66311;58219;2009
44;11;;179;2009
44;13;5466;6554;2005
44;13;11173;12601;2009
44;17;7931;18205;2005
44;17;14560;24492;2009
44;20;;57;2005
44;20;;46;2009
44;21;;991;2005
44;21;;1362;2009
44;22;2501;2297;2005
44;22;2642;2288;2009
44;23;;301;2009
44;24;;442;2005
44;26;;3137;2009
44;27;;1139;2009
44;29;92505;82786;2005
44;29;67178;53236;2009
44;30;;579;2005
44;36;;136;2005
44;99;;868;2005
45;4;5275;11021;2005
45;4;10801;14770;2009
45;5;;77;2005
45;6;70623;61932;2005
45;6;68572;55393;2009
45;11;;180;2009
45;13;5477;7086;2005
45;13;10130;11765;2009
45;17;6156;16195;2005
45;17;11351;22295;2009
45;20;;52;2005
45;20;;40;2009
45;21;;1000;2005
45;21;;1130;2009
45;22;2489;2614;2005
